"Cod_Estacao";"Cod_UF";"Longitude";"Latitude"
"A001";"DF";-47.925756;-15.789343
"A042";"DF";-48.1311111;-15.59972221
"A045";"DF";-47.625801;-15.596491
"A046";"DF";-48.13749999;-15.93527777
"A047";"DF";-47.557417;-16.012222
"A002";"GO";-49.220222;-16.642841
"A003";"GO";-49.101698;-17.745066
"A005";"GO";-49.117478;-13.309528
"A011";"GO";-50.633449;-18.969142
"A012";"GO";-47.96694443;-16.26055555
"A013";"GO";-52.245172;-15.902658
"A014";"GO";-50.14138888;-15.93972221
"A015";"GO";-49.53999999;-14.97972221
"A016";"GO";-51.717467;-17.923622
"A017";"GO";-46.36638888;-14.08916666
"A022";"GO";-48.98999999;-15.22027777
"A023";"GO";-51.81749999;-16.96694443
"A024";"GO";-47.52333332;-14.13305554
"A025";"GO";-50.964869;-17.785303
"A026";"GO";-52.60111111;-17.45472222
"A027";"GO";-50.42545;-16.962536
"A028";"GO";-51.14888888;-16.42305554
"A029";"GO";-49.91472222;-17.33694444
"A031";"GO";-50.33583333;-12.82055554
"A032";"GO";-46.890326;-13.253521
"A033";"GO";-48.28416666;-17.30416666
"A034";"GO";-47.927614;-18.154779
"A035";"GO";-49.192061;-18.409761
"A036";"GO";-47.612966;-16.784896
"A037";"GO";-48.618171;-16.679786
"A056";"GO";-47.62583332;-16.39944444
"A702";"MS";-54.722615;-20.447195
"A703";"MS";-55.716317;-22.552448
"A704";"MS";-51.712222;-20.783333
"A709";"MS";-53.82277777;-22.30055555
"A710";"MS";-51.181769;-19.695517
"A717";"MS";-56.62277777;-18.9886111
"A719";"MS";-55.78388888;-20.47555554
"A720";"MS";-54.7361111;-18.51222222
"A721";"MS";-54.91138888;-22.19388888
"A722";"MS";-56.43166666;-20.39555555
"A723";"MS";-57.88666666;-21.70583333
"A724";"MS";-57.6375;-18.99667
"A730";"MS";-52.6025;-18.80222222
"A731";"MS";-55.177531;-21.609036
"A732";"MS";-54.55305555;-19.42027777
"A742";"MS";-51.720732;-19.122471
"A743";"MS";-54.528108;-21.774944
"A749";"MS";-54.60555555;-22.85722222
"A750";"MS";-55.32944443;-23.0025
"A751";"MS";-55.02416666;-23.96694443
"A752";"MS";-54.181858;-23.449501
"A754";"MS";-54.97194443;-20.98166666
"A756";"MS";-52.87583;-20.44444
"A757";"MS";-56.54083333;-22.10166666
"A758";"MS";-56.13777777;-21.4786111
"A759";"MS";-52.471294;-21.750123
"A760";"MS";-53.17138888;-18.49277777
"A761";"MS";-54.76055555;-17.63527777
"S701";"MS";-53.763736;-22.148083
"S702";"MS";-55.626;-22.955028
"S703";"MS";-54.368533;-19.945539
"S704";"MS";-56.450442;-21.246756
"S705";"MS";-52.068917;-21.298278
"S706";"MS";-54.819306;-22.657056
"S707";"MS";-54.030083;-19.587528
"S708";"MS";-54.325833;-22.308694
"S709";"MS";-54.570289;-23.644481
"S710";"MS";-54.798833;-22.092833
"S711";"MS";-55.160333;-22.575389
"S712";"MS";-54.341972;-21.450972
"S713";"MS";-53.465889;-22.078528
"S714";"MS";-54.54888888;-18.07277777
"S715";"MS";-53.763028;-20.466694
