Código;Fundo;Data;Cota;Variação;Captação;Resgate;PL;Cotistas
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;10/09/2019;1,47875023;0,00%;R$ 0,00;R$ 0,00;R$ 2,667,756,591,23;1,672
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09/09/2019;1,47870189;0,14%;R$ 0,00;R$ 1,372,208,69;R$ 2,667,669,382,63;1,672
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;06/09/2019;1,47667682;-0,11%;R$ 0,00;R$ 2,682,260,78;R$ 2,665,386,354,57;1,675
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;05/09/2019;1,47834344;-0,23%;R$ 0,00;R$ 874,349,63;R$ 2,671,079,873,60;1,679
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;04/09/2019;1,48177423;-0,31%;R$ 0,00;R$ 1,265,024,21;R$ 2,678,155,029,54;1,682
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;03/09/2019;1,48643106;0,10%;R$ 0,00;R$ 0,00;R$ 2,687,840,772,47;1,687
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;02/09/2019;1,48500099;0,16%;R$ 0,00;R$ 6,796,028,68;R$ 2,685,254,837,91;1,687
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30/08/2019;1,48266576;-0,03%;R$ 0,00;R$ 16,287,715,87;R$ 2,687,817,496,72;1,700
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29/08/2019;1,48312492;-0,11%;R$ 0,00;R$ 1,947,193,34;R$ 2,704,942,630,94;1,705
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28/08/2019;1,48474137;-0,14%;R$ 0,00;R$ 1,884,687,26;R$ 2,709,840,059,37;1,706
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27/08/2019;1,48674988;0,00%;R$ 0,00;R$ 0,00;R$ 2,715,393,083,42;1,709
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26/08/2019;1,48669918;0,04%;R$ 0,00;R$ 8,460,294,29;R$ 2,715,300,477,08;1,709
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23/08/2019;1,48608528;0,52%;R$ 0,00;R$ 1,467,919,19;R$ 2,722,636,053,45;1,719
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;22/08/2019;1,4784136;0,21%;R$ 0,00;R$ 4,299,353,66;R$ 2,710,041,217,37;1,723
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;21/08/2019;1,47534803;-0,09%;R$ 0,00;R$ 1,568,750,36;R$ 2,708,712,248,67;1,724
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;20/08/2019;1,47668381;0,00%;R$ 0,00;R$ 0,00;R$ 2,712,734,885,95;1,726
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19/08/2019;1,47671672;0,04%;R$ 0,00;R$ 13,580,578,85;R$ 2,712,795,345,48;1,726
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;16/08/2019;1,47610815;-0,18%;R$ 0,00;R$ 4,862,269,26;R$ 2,725,252,344,22;1,739
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;15/08/2019;1,47884169;-0,09%;R$ 0,00;R$ 2,484,545,95;R$ 2,735,170,398,52;1,750
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;14/08/2019;1,48020179;0,66%;R$ 0,00;R$ 2,475,500,38;R$ 2,740,172,772,81;1,755
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;13/08/2019;1,47049939;-0,37%;R$ 0,00;R$ 0,00;R$ 2,724,670,820,56;1,756
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;12/08/2019;1,47599868;0,31%;R$ 0,00;R$ 4,160,066,61;R$ 2,734,860,382,05;1,756
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09/08/2019;1,47145587;0,13%;R$ 0,00;R$ 1,345,649,85;R$ 2,730,590,340,23;1,766
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;08/08/2019;1,4694912;-0,29%;R$ 0,00;R$ 153,184,32;R$ 2,728,288,344,23;1,771
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;07/08/2019;1,47378899;-0,06%;R$ 0,00;R$ 3,859,725,97;R$ 2,736,421,340,50;1,772
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;06/08/2019;1,47462821;-0,18%;R$ 0,00;R$ 0,00;R$ 2,741,841,464,63;1,776
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;05/08/2019;1,47728615;0,64%;R$ 0,00;R$ 7,944,599,81;R$ 2,746,783,481,02;1,776
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;02/08/2019;1,46788831;0,24%;R$ 0,00;R$ 2,623,484,43;R$ 2,737,203,728,86;1,788
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;01/08/2019;1,46441769;0,61%;R$ 0,00;R$ 1,569,419,16;R$ 2,733,349,267,09;1,794
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;31/07/2019;1,45548751;0,09%;R$ 0,00;R$ 3,553,046,65;R$ 2,718,240,845,17;1,800
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;30/07/2019;1,45423842;-0,03%;R$ 0,00;R$ 0,00;R$ 2,719,458,079,03;1,805
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29/07/2019;1,45461973;-0,07%;R$ 0,00;R$ 6,220,725,43;R$ 2,720,171,136,74;1,805
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26/07/2019;1,45568707;0,04%;R$ 0,00;R$ 28,880,173,67;R$ 2,728,392,370,51;1,813
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;25/07/2019;1,4550791;0,16%;R$ 0,00;R$ 936,895,18;R$ 2,756,120,957,19;1,816
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24/07/2019;1,45271013;-0,02%;R$ 0,00;R$ 20,567,328,48;R$ 2,752,569,173,81;1,819
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;23/07/2019;1,45299838;0,09%;R$ 0,00;R$ 0,00;R$ 2,773,686,747,24;1,828
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;22/07/2019;1,45170776;0,09%;R$ 0,00;R$ 161,508,74;R$ 2,771,223,040,70;1,828
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19/07/2019;1,45037413;0,14%;R$ 0,00;R$ 32,315,22;R$ 2,768,838,590,06;1,830
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18/07/2019;1,44838972;-0,10%;R$ 0,00;R$ 5,165,523,30;R$ 2,765,082,507,45;1,831
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17/07/2019;1,4497825;0,14%;R$ 0,00;R$ 1,367,093,66;R$ 2,772,911,925,37;1,833
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;16/07/2019;1,44771795;-0,01%;R$ 0,00;R$ 0,00;R$ 2,770,328,325,06;1,836
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;15/07/2019;1,44785998;-0,07%;R$ 0,00;R$ 2,612,793,20;R$ 2,770,600,116,15;1,836
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;12/07/2019;1,4488982;-0,02%;R$ 0,00;R$ 283,000,00;R$ 2,775,201,509,74;1,838
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;11/07/2019;1,44918754;-0,04%;R$ 0,00;R$ 1,362,118,10;R$ 2,776,038,759,10;1,838
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;10/07/2019;1,44969795;-0,26%;R$ 0,00;R$ 354,342,90;R$ 2,778,379,085,80;1,839
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;09/07/2019;1,4534319;0,06%;R$ 0,00;R$ 0,00;R$ 2,785,890,549,36;1,840
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;08/07/2019;1,45256831;0,14%;R$ 0,00;R$ 746,934,17;R$ 2,784,235,240,38;1,840
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;05/07/2019;1,45047933;0,02%;R$ 0,00;R$ 3,079,747,62;R$ 2,780,977,020,07;1,844
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;04/07/2019;1,45018077;0,00%;R$ 0,00;R$ 0,00;R$ 2,783,483,704,33;1,850
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;03/07/2019;1,45011988;-0,21%;R$ 0,00;R$ 1,761,679,39;R$ 2,783,366,831,94;1,850
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;02/07/2019;1,45322986;0,13%;R$ 0,00;R$ 0,00;R$ 2,791,101,605,01;1,852
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;01/07/2019;1,45133527;-0,30%;R$ 0,00;R$ 1,896,162,34;R$ 2,787,462,804,90;1,852
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;28/06/2019;1,45569231;0,31%;R$ 0,00;R$ 1,413,973,69;R$ 2,797,732,876,11;1,854
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;27/06/2019;1,45118204;-0,06%;R$ 0,00;R$ 141,620,36;R$ 2,790,474,066,89;1,860
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26/06/2019;1,45211731;-0,14%;R$ 0,00;R$ 27,000,00;R$ 2,792,414,205,71;1,862
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;25/06/2019;1,45413245;0,07%;R$ 0,00;R$ 0,00;R$ 2,796,316,357,94;1,862
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24/06/2019;1,45313061;0,01%;R$ 0,00;R$ 1,167,766,88;R$ 2,794,389,806,56;1,862
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;21/06/2019;1,45291412;-0,16%;R$ 0,00;R$ 3,407,692,51;R$ 2,795,141,078,29;1,865
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19/06/2019;1,45517039;-0,13%;R$ 0,00;R$ 417,000,00;R$ 2,802,894,714,90;1,868
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;18/06/2019;1,45700111;-0,23%;R$ 0,00;R$ 0,00;R$ 2,806,838,506,40;1,868
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;17/06/2019;1,46032355;-0,09%;R$ 0,00;R$ 35,061,454,30;R$ 2,813,239,010,77;1,868
35399;ADAM MACRO II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;14/06/2019;1,4616117;0,35%;R$ 0,00;R$ 3,109,986,20;R$ 2,850,812,958,72;1,872
