municipio_nome;lon;lat
Abaíra;-41.6616;-13.2535
Abaré;-39.1166;-8.7234
Acajutiba;-38.0183;-11.6626
Adustina;-38.1155;-10.5296
Água Fria;-38.7681;-11.8729
Érico Cardoso;-42.1362;-13.4223
Aiquara;-39.8858;-14.1273
Alagoinhas;-38.4226;-12.1342
Alcobaça;-39.1942;-17.5189
Almadina;-39.6359;-14.706
Amargosa;-39.5981;-13.0345
Amélia Rodrigues;-38.7556;-12.4002
América Dourada;-41.4372;-11.4496
Anagé;-41.1271;-14.6113
Andaraí;-41.3246;-12.8014
Andorinha;-39.8323;-10.3442
Angical;-44.6958;-12.0067
Anguera;-39.2485;-12.1496
Antas;-38.331;-10.4127
Antônio Cardoso;-39.1187;-12.4348
Antônio Gonçalves;-40.2757;-10.5758
Aporá;-38.08;-11.6554
Apuarema;-39.7421;-13.8532
Aracatu;-41.4617;-14.4266
Araças;-38.1983;-12.2152
Araci;-38.961;-11.3357
Aramari;-38.5031;-12.0882
Arataca;-39.4133;-15.2609
Aratuípe;-39.0029;-13.0806
Aurelino Leal;-39.322;-14.3169
Baianópolis;-44.5361;-12.3041
Baixa Grande;-40.1669;-11.9594
Banzaê;-38.6119;-10.5741
Barra;-43.1436;-11.089
Barra da Estiva;-41.3317;-13.6202
Barra do Choça;-40.5764;-14.8643
Barra do Mendes;-42.0591;-11.8088
Barra do Rocha;-39.6014;-14.21
Barreiras;-45.0042;-12.1449
Barro Alto;-41.9121;-11.7611
Barrocas;-39.0787;-11.5291
Barro Preto;-39.4733;-14.8098
Belmonte;-38.8803;-15.8614
Belo Campo;-41.26;-15.0335
Biritinga;-38.8122;-11.6201
Boa Nova;-40.2005;-14.3626
Boa Vista do Tupim;-40.6057;-12.6613
Bom Jesus da Lapa;-43.4171;-13.2541
Bom Jesus da Serra;-40.5012;-14.3729
Boninal;-41.8243;-12.7151
Bonito;-41.2684;-11.9696
Boquira;-42.7301;-12.8208
Botuporã;-42.5293;-13.3809
Brejões;-39.7935;-13.1055
Brejolândia;-43.9657;-12.4867
Brotas de Macaúbas;-42.6247;-12.0026
Brumado;-41.6671;-14.2054
Buerarema;-39.3025;-14.9564
Buritirama;-43.6314;-10.7118
Caatiba;-40.4103;-14.9786
Cabaceiras do Paraguaçu;-39.1867;-12.5371
Cachoeira;-38.9694;-12.5962
Caculé;-42.2214;-14.5042
Caém;-40.4373;-11.0931
Caetanos;-40.9093;-14.3386
Caetité;-42.4857;-14.0668
Cafarnaum;-41.4722;-11.6914
Cairu;-39.0433;-13.4876
Caldeirão Grande;-40.3074;-11.0222
Camacan;-39.4964;-15.4176
Camaçari;-38.3257;-12.6988
Camamu;-39.1006;-13.9471
Campo Alegre de Lourdes;-43.0123;-9.5172
Campo Formoso;-40.3188;-10.5057
Canápolis;-44.205;-13.0759
Canarana;-41.7655;-11.6876
Canavieiras;-38.9474;-15.6798
Candeal;-39.1237;-11.805
Candeias;-38.5436;-12.6719
Candiba;-42.8644;-14.4132
Cândido Sales;-41.2411;-15.5061
Cansanção;-39.4966;-10.6667
Canudos;-39.0241;-9.8907
