"geo_code","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
1200013,"(40,50]","(40,50]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(30,40]","(20,30]"
1200054,"(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]"
1200104,"(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(70,80]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]"
1200138,"(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(60,70]","(50,60]","(50,60]","(50,60]","(50,60]"
1200179,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]","(40,50]"
1200203,"(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(80,90]","(80,90]","(80,90]","(80,90]","(80,90]"
1200252,"(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(50,60]","(40,50]","(40,50]","(40,50]","(40,50]"
1200302,"(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]"
1200328,"(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]"
1200336,"(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]","(90,100]"
