"COD_IBGE","NM_MUN","NM_MUN_S","NM_UF","COD","SG_UF","COD_TSE"
1100015,"ALTA FLORESTA D'OESTE","ALTA FLORESTA D'OESTE","RONDONIA",11,"RO",310
1100379,"ALTO ALEGRE DOS PARECIS","ALTO ALEGRE DOS PARECIS","RONDONIA",11,"RO",736
1100403,"ALTO PARAÍSO","ALTO PARAISO","RONDONIA",11,"RO",639
1100346,"ALVORADA D'OESTE","ALVORADA D'OESTE","RONDONIA",11,"RO",337
1100023,"ARIQUEMES","ARIQUEMES","RONDONIA",11,"RO",78
1100452,"BURITIS","BURITIS","RONDONIA",11,"RO",779
1100031,"CABIXI","CABIXI","RONDONIA",11,"RO",450
1100601,"CACAULÂNDIA","CACAULANDIA","RONDONIA",11,"RO",620
1100049,"CACOAL","CACOAL","RONDONIA",11,"RO",94
1100700,"CAMPO NOVO DE RONDÔNIA","CAMPO NOVO DE RONDONIA","RONDONIA",11,"RO",671
1100809,"CANDEIAS DO JAMARI","CANDEIAS DO JAMARI","RONDONIA",11,"RO",477
1100908,"CASTANHEIRAS","CASTANHEIRAS","RONDONIA",11,"RO",531
1100056,"CEREJEIRAS","CEREJEIRAS","RONDONIA",11,"RO",272
1100924,"CHUPINGUAIA","CHUPINGUAIA","RONDONIA",11,"RO",809
1100064,"COLORADO DO OESTE","COLORADO DO OESTE","RONDONIA",11,"RO",230
1100072,"CORUMBIARA","CORUMBIARA","RONDONIA",11,"RO",655
1100080,"COSTA MARQUES","COSTA MARQUES","RONDONIA",11,"RO",213
1100940,"CUJUBIM","CUJUBIM","RONDONIA",11,"RO",680
1100098,"ESPIGÃO D'OESTE","ESPIGAO D'OESTE","RONDONIA",11,"RO",256
1101005,"GOVERNADOR JORGE TEIXEIRA","GOVERNADOR JORGE TEIXEIRA","RONDONIA",11,"RO",612
1100106,"GUAJARÁ-MIRIM","GUAJARA-MIRIM","RONDONIA",11,"RO",19
1101104,"ITAPUÃ DO OESTE","ITAPUA DO OESTE","RONDONIA",11,"RO",493
1100114,"JARU","JARU","RONDONIA",11,"RO",159
1100122,"JI-PARANÁ","JI-PARANA","RONDONIA",11,"RO",51
1100130,"MACHADINHO D'OESTE","MACHADINHO D'OESTE","RONDONIA",11,"RO",396
1101203,"MINISTRO ANDREAZZA","MINISTRO ANDREAZZA","RONDONIA",11,"RO",604
1101302,"MIRANTE DA SERRA","MIRANTE DA SERRA","RONDONIA",11,"RO",574
1101401,"MONTE NEGRO","MONTE NEGRO","RONDONIA",11,"RO",663
1100148,"NOVA BRASILÂNDIA D'OESTE","NOVA BRASILANDIA D'OESTE","RONDONIA",11,"RO",370
1100338,"NOVA MAMORÉ","NOVA MAMORE","RONDONIA",11,"RO",434
1101435,"NOVA UNIÃO","NOVA UNIAO","RONDONIA",11,"RO",744
1100502,"NOVO HORIZONTE DO OESTE","NOVO HORIZONTE DO OESTE","RONDONIA",11,"RO",515
1100155,"OURO PRETO DO OESTE","OURO PRETO DO OESTE","RONDONIA",11,"RO",175
1101450,"PARECIS","PARECIS","RONDONIA",11,"RO",701
1100189,"PIMENTA BUENO","PIMENTA BUENO","RONDONIA",11,"RO",116
1101468,"PIMENTEIRAS DO OESTE","PIMENTEIRAS DO OESTE","RONDONIA",11,"RO",787
1100205,"PORTO VELHO","PORTO VELHO","RONDONIA",11,"RO",35
1100254,"PRESIDENTE MÉDICI","PRESIDENTE MEDICI","RONDONIA",11,"RO",191
1101476,"PRIMAVERA DE RONDÔNIA","PRIMAVERA DE RONDONIA","RONDONIA",11,"RO",728
1100262,"RIO CRESPO","RIO CRESPO","RONDONIA",11,"RO",647
1100288,"ROLIM DE MOURA","ROLIM DE MOURA","RONDONIA",11,"RO",299
1100296,"SANTA LUZIA D'OESTE","SANTA LUZIA D'OESTE","RONDONIA",11,"RO",353
1101484,"SÃO FELIPE D'OESTE","SAO FELIPE D'OESTE","RONDONIA",11,"RO",710
1101492,"SÃO FRANCISCO DO GUAPORÉ","SAO FRANCISCO DO GUAPORE","RONDONIA",11,"RO",795
1100320,"SÃO MIGUEL DO GUAPORÉ","SAO MIGUEL DO GUAPORE","RONDONIA",11,"RO",418
1101500,"SERINGUEIRAS","SERINGUEIRAS","RONDONIA",11,"RO",582
1101559,"TEIXEIRÓPOLIS","TEIXEIROPOLIS","RONDONIA",11,"RO",752
1101609,"THEOBROMA","THEOBROMA","RONDONIA",11,"RO",590
1101708,"URUPÁ","URUPA","RONDONIA",11,"RO",566
1101757,"VALE DO ANARI","VALE DO ANARI","RONDONIA",11,"RO",698
1101807,"VALE DO PARAÍSO","VALE DO PARAISO","RONDONIA",11,"RO",558
1100304,"VILHENA","VILHENA","RONDONIA",11,"RO",132
1200013,"ACRELÂNDIA","ACRELANDIA","ACRE",12,"AC",1120
1200054,"ASSIS BRASIL","ASSIS BRASIL","ACRE",12,"AC",1570
1200104,"BRASILÉIA","BRASILEIA","ACRE",12,"AC",1058
1200138,"BUJARI","BUJARI","ACRE",12,"AC",1007
1200179,"CAPIXABA","CAPIXABA","ACRE",12,"AC",1015
1200203,"CRUZEIRO DO SUL","CRUZEIRO DO SUL","ACRE",12,"AC",1074
1200252,"EPITACIOLÂNDIA","EPITACIOLANDIA","ACRE",12,"AC",1112
1200302,"FEIJÓ","FEIJO","ACRE",12,"AC",1139
1200328,"JORDÃO","JORDAO","ACRE",12,"AC",1104
1200336,"MÂNCIO LIMA","MANCIO LIMA","ACRE",12,"AC",1090
1200344,"MANOEL URBANO","MANOEL URBANO","ACRE",12,"AC",1554
1200351,"MARECHAL THAUMATURGO","MARECHAL THAUMATURGO","ACRE",12,"AC",1040
1200385,"PLÁCIDO DE CASTRO","PLACIDO DE CASTRO","ACRE",12,"AC",1511
1200807,"PORTO ACRE","PORTO ACRE","ACRE",12,"AC",1023
1200393,"PORTO WALTER","PORTO WALTER","ACRE",12,"AC",1066
1200401,"RIO BRANCO","RIO BRANCO","ACRE",12,"AC",1392
1200427,"RODRIGUES ALVES","RODRIGUES ALVES","ACRE",12,"AC",1082
1200435,"SANTA ROSA DO PURUS","SANTA ROSA DO PURUS","ACRE",12,"AC",1031
1200500,"SENA MADUREIRA","SENA MADUREIRA","ACRE",12,"AC",1457
1200450,"SENADOR GUIOMARD","SENADOR GUIOMARD","ACRE",12,"AC",1538
1200609,"TARAUACÁ","TARAUACA","ACRE",12,"AC",1473
1200708,"XAPURI","XAPURI","ACRE",12,"AC",1490
1300029,"ALVARÃES","ALVARAES","AMAZONAS",13,"AM",2895
1300060,"AMATURÁ","AMATURA","AMAZONAS",13,"AM",2917
1300086,"ANAMÃ","ANAMA","AMAZONAS",13,"AM",2933
1300102,"ANORI","ANORI","AMAZONAS",13,"AM",2038
1300144,"APUÍ","APUI","AMAZONAS",13,"AM",2003
1300201,"ATALAIA DO NORTE","ATALAIA DO NORTE","AMAZONAS",13,"AM",2054
1300300,"AUTAZES","AUTAZES","AMAZONAS",13,"AM",2070
1300409,"BARCELOS","BARCELOS","AMAZONAS",13,"AM",2097
1300508,"BARREIRINHA","BARREIRINHA","AMAZONAS",13,"AM",2119
1300607,"BENJAMIN CONSTANT","BENJAMIN CONSTANT","AMAZONAS",13,"AM",2135
1300631,"BERURI","BERURI","AMAZONAS",13,"AM",2950
1300680,"BOA VISTA DO RAMOS","BOA VISTA DO RAMOS","AMAZONAS",13,"AM",2976
1300706,"BOCA DO ACRE","BOCA DO ACRE","AMAZONAS",13,"AM",2151
1300805,"BORBA","BORBA","AMAZONAS",13,"AM",2178
1300839,"CAAPIRANGA","CAAPIRANGA","AMAZONAS",13,"AM",2992
1300904,"CANUTAMA","CANUTAMA","AMAZONAS",13,"AM",2194
1301001,"CARAUARI","CARAUARI","AMAZONAS",13,"AM",2216
1301100,"CAREIRO","CAREIRO","AMAZONAS",13,"AM",2232
1301159,"CAREIRO DA VÁRZEA","CAREIRO DA VARZEA","AMAZONAS",13,"AM",2046
1301209,"COARI","COARI","AMAZONAS",13,"AM",2259
1301308,"CODAJÁS","CODAJAS","AMAZONAS",13,"AM",2275
1301407,"EIRUNEPÉ","EIRUNEPE","AMAZONAS",13,"AM",2291
1301506,"ENVIRA","ENVIRA","AMAZONAS",13,"AM",2313
1301605,"FONTE BOA","FONTE BOA","AMAZONAS",13,"AM",2330
1301654,"GUAJARÁ","GUAJARA","AMAZONAS",13,"AM",2020
1301704,"HUMAITÁ","HUMAITA","AMAZONAS",13,"AM",2356
1301803,"IPIXUNA","IPIXUNA","AMAZONAS",13,"AM",2399
1301852,"IRANDUBA","IRANDUBA","AMAZONAS",13,"AM",98353
1301902,"ITACOATIARA","ITACOATIARA","AMAZONAS",13,"AM",2410
1301951,"ITAMARATI","ITAMARATI","AMAZONAS",13,"AM",98370
1302009,"ITAPIRANGA","ITAPIRANGA","AMAZONAS",13,"AM",2437
1302108,"JAPURÁ","JAPURA","AMAZONAS",13,"AM",2453
1302207,"JURUÁ","JURUA","AMAZONAS",13,"AM",2470
1302306,"JUTAÍ","JUTAI","AMAZONAS",13,"AM",2496
