#;Jogador;Nascimento;Idade;Nacionalidade;Altura;Peso;Pé;Posição;Contrato
1;Douglas Friedrich;12/12/1988;29;Brasileiro;1,94;88;Direito;Goleiro;2020
33;Anderson;20/11/1983;34;Brasileiro;1,90;83;Direito;Goleiro;
32;Fernando Castro;30/03/1997;21;Brasileiro;1,95;95;Direito;Goleiro;
6;Léo Pele;06/01/1996;22;Brasileiro;1,83;71;Esquerdo;Lateral Esquerdo;
16;Paulinho;03/01/1995;23;Brasileiro;1,78;71;Esquerdo;Lateral Esquerdo;
2;Nino Paraíba;10/01/1986;32;Brasileiro;1,68;63;Direito;Lateral Direito;2019
22;Bruno;30/08/1985;33;Brasileiro;1,78;75;Direito;Lateral Direito;
3;Tiago Pagnussat;17/06/1990;28;Italiano;1,91;88;Direito;Zagueiro;
4;Jackson;01/05/1990;28;Brasileiro;1,86;77;Direito;Zagueiro;2019
13;Douglas Grolli;05/10/1989;29;Brasileiro;1,89;86;Direito;Zagueiro;
28;Lucas Fonseca;02/08/1985;33;Brasileiro;1,91;86;Direito;Zagueiro;
25;Everson;24/07/1997;21;Brasileiro;1,87;73;Ambos;Zagueiro;
19;Nílton;21/04/1987;31;Brasileiro;1,85;80;Direito;Meia Central/Meia Defensivo;
15;Edson;17/03/1991;27;Brasileiro;1,83;75;Direito;Meia Defensivo;
17;Elton;17/03/1990;28;Brasileiro;1,80;77;Direito;Meia Central/Meia Defensivo;2019
26;Gregore;13/06/1993;25;Brasileiro;1,81;78;Esquerdo;Meia Defensivo;
5;Flávio;10/02/1996;22;Brasileiro;1,78;73;Ambos;Meia Central/Meia Defensivo;2020
18;Ramires;10/08/2000;18;Brasileiro;1,72;64;Ambos;Meia Central;2022
42;Joílson;04/08/1997;21;Brasileiro;1,77;70;Direito;Meia Central/Meia Defensivo;
8;Augustin Allione;28/10/1994;23;Argentino;1,70;66;Direito;Meia Direito/Meia Ofensivo;
10;Zé Rafael;16/06/1993;25;Brasileiro;1,75;71;Direito;Meia Direito/Meia Ofensivo;
29;Vinicius;15/04/1991;27;Brasileiro;1,77;73;Direito;Meia Central/Meia Ofensivo;
30;Marco Antônio;01/10/1997;21;Brasileiro;1,72;64;Direito;Meia Ofensivo/Meia Esquerda;
7;Élber;27/05/1992;26;Brasileiro;1,70;70;Direito;Ponta Esquerda;
12;Clayton;23/10/1995;22;Brasileiro;1,73;69;Direito;Ponta Direita/Ponta Esquerda/Segundo Atacante;
11;Edigar Junio;06/05/1991;27;Brasileiro;1,74;72;Direito;Ponta Direita/Ponta Esquerda/Segundo Atacante/Centro Avante;2020
9;Gilberto;05/06/1989;29;Brasileiro;1,78;71;Direito;Centro Avante;
23;Junior Brumado;15/05/1999;19;Brasileiro;1,90;88;Direito;Centro Avante;
