"code_muni","name_muni","code_state","code_ibge","code_macro_23","name_macro_23","code_saude_23","name_saude_23","code_saude_13"
1100015,"ALTA FLORESTA D'OESTE",11,"110001","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1100023,"ARIQUEMES",11,"110002","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1100031,"CABIXI",11,"110003","1101","MACRORREGIONAL II (CACOAL)","11006","CONE SUL","11006"
1100049,"CACOAL",11,"110004","1101","MACRORREGIONAL II (CACOAL)","11002","CAFE","11002"
1100056,"CEREJEIRAS",11,"110005","1101","MACRORREGIONAL II (CACOAL)","11006","CONE SUL","11006"
1100064,"COLORADO DO OESTE",11,"110006","1101","MACRORREGIONAL II (CACOAL)","11006","CONE SUL","11006"
1100072,"CORUMBIARA",11,"110007","1101","MACRORREGIONAL II (CACOAL)","11006","CONE SUL","11006"
1100080,"COSTA MARQUES",11,"110008","1101","MACRORREGIONAL II (CACOAL)","11007","VALE DO GUAPORE","11007"
1100098,"ESPIGÃO D'OESTE",11,"110009","1101","MACRORREGIONAL II (CACOAL)","11002","CAFE","11002"
1100106,"GUAJARÁ-MIRIM",11,"110010","1102","MACRORREGIAO I - PORTO VELHO","11004","MADEIRA-MAMORE","11004"
1100114,"JARU",11,"110011","1102","MACRORREGIAO I - PORTO VELHO","11003","CENTRAL","11003"
1100122,"JI-PARANÁ",11,"110012","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1100130,"MACHADINHO D'OESTE",11,"110013","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1100148,"NOVA BRASILÂNDIA D'OESTE",11,"110014","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1100155,"OURO PRETO DO OESTE",11,"110015","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1100189,"PIMENTA BUENO",11,"110018","1101","MACRORREGIONAL II (CACOAL)","11002","CAFE","11002"
1100205,"PORTO VELHO",11,"110020","1102","MACRORREGIAO I - PORTO VELHO","11004","MADEIRA-MAMORE","11004"
1100254,"PRESIDENTE MÉDICI",11,"110025","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1100262,"RIO CRESPO",11,"110026","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1100288,"ROLIM DE MOURA",11,"110028","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1100296,"SANTA LUZIA D'OESTE",11,"110029","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1100304,"VILHENA",11,"110030","1101","MACRORREGIONAL II (CACOAL)","11006","CONE SUL","11006"
1100320,"SÃO MIGUEL DO GUAPORÉ",11,"110032","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1100338,"NOVA MAMORÉ",11,"110033","1102","MACRORREGIAO I - PORTO VELHO","11004","MADEIRA-MAMORE","11004"
1100346,"ALVORADA D'OESTE",11,"110034","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1100379,"ALTO ALEGRE DOS PARECIS",11,"110037","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1100403,"ALTO PARAÍSO",11,"110040","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1100452,"BURITIS",11,"110045","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1100502,"NOVO HORIZONTE DO OESTE",11,"110050","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1100601,"CACAULÂNDIA",11,"110060","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1100700,"CAMPO NOVO DE RONDÔNIA",11,"110070","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1100809,"CANDEIAS DO JAMARI",11,"110080","1102","MACRORREGIAO I - PORTO VELHO","11004","MADEIRA-MAMORE","11004"
1100908,"CASTANHEIRAS",11,"110090","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1100924,"CHUPINGUAIA",11,"110092","1101","MACRORREGIONAL II (CACOAL)","11006","CONE SUL","11006"
1100940,"CUJUBIM",11,"110094","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1101005,"GOVERNADOR JORGE TEIXEIRA",11,"110100","1102","MACRORREGIAO I - PORTO VELHO","11003","CENTRAL","11003"
1101104,"ITAPUÃ DO OESTE",11,"110110","1102","MACRORREGIAO I - PORTO VELHO","11004","MADEIRA-MAMORE","11004"
1101203,"MINISTRO ANDREAZZA",11,"110120","1101","MACRORREGIONAL II (CACOAL)","11002","CAFE","11002"
1101302,"MIRANTE DA SERRA",11,"110130","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1101401,"MONTE NEGRO",11,"110140","1102","MACRORREGIAO I - PORTO VELHO","11001","VALE DO JAMARI","11001"
1101435,"NOVA UNIÃO",11,"110143","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1101450,"PARECIS",11,"110145","1101","MACRORREGIONAL II (CACOAL)","11005","ZONA DA MATA","11005"
1101468,"PIMENTEIRAS DO OESTE",11,"110146","1101","MACRORREGIONAL II (CACOAL)","11006","CONE SUL","11006"
1101476,"PRIMAVERA DE RONDÔNIA",11,"110147","1101","MACRORREGIONAL II (CACOAL)","11002","CAFE","11002"
1101484,"SÃO FELIPE D'OESTE",11,"110148","1101","MACRORREGIONAL II (CACOAL)","11002","CAFE","11002"
1101492,"SÃO FRANCISCO DO GUAPORÉ",11,"110149","1101","MACRORREGIONAL II (CACOAL)","11007","VALE DO GUAPORE","11007"
1101500,"SERINGUEIRAS",11,"110150","1101","MACRORREGIONAL II (CACOAL)","11007","VALE DO GUAPORE","11007"
1101559,"TEIXEIRÓPOLIS",11,"110155","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1101609,"THEOBROMA",11,"110160","1102","MACRORREGIAO I - PORTO VELHO","11003","CENTRAL","11003"
1101708,"URUPÁ",11,"110170","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1101757,"VALE DO ANARI",11,"110175","1102","MACRORREGIAO I - PORTO VELHO","11003","CENTRAL","11003"
1101807,"VALE DO PARAÍSO",11,"110180","1101","MACRORREGIONAL II (CACOAL)","11003","CENTRAL","11003"
1200013,"ACRELÂNDIA",12,"120001","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200054,"ASSIS BRASIL",12,"120005","1201","MACRO UNICA - AC","12001","ALTO ACRE","12001"
1200104,"BRASILÉIA",12,"120010","1201","MACRO UNICA - AC","12001","ALTO ACRE","12001"
1200138,"BUJARI",12,"120013","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200179,"CAPIXABA",12,"120017","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200203,"CRUZEIRO DO SUL",12,"120020","1201","MACRO UNICA - AC","12003","JURUA E TARAUACA/ENVIRA","12003"
1200252,"EPITACIOLÂNDIA",12,"120025","1201","MACRO UNICA - AC","12001","ALTO ACRE","12001"
1200302,"FEIJÓ",12,"120030","1201","MACRO UNICA - AC","12003","JURUA E TARAUACA/ENVIRA","12003"
1200328,"JORDÃO",12,"120032","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200336,"MÂNCIO LIMA",12,"120033","1201","MACRO UNICA - AC","12003","JURUA E TARAUACA/ENVIRA","12003"
1200344,"MANOEL URBANO",12,"120034","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200351,"MARECHAL THAUMATURGO",12,"120035","1201","MACRO UNICA - AC","12003","JURUA E TARAUACA/ENVIRA","12003"
1200385,"PLÁCIDO DE CASTRO",12,"120038","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200393,"PORTO WALTER",12,"120039","1201","MACRO UNICA - AC","12003","JURUA E TARAUACA/ENVIRA","12003"
1200401,"RIO BRANCO",12,"120040","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200427,"RODRIGUES ALVES",12,"120042","1201","MACRO UNICA - AC","12003","JURUA E TARAUACA/ENVIRA","12003"
1200435,"SANTA ROSA DO PURUS",12,"120043","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200450,"SENADOR GUIOMARD",12,"120045","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200500,"SENA MADUREIRA",12,"120050","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1200609,"TARAUACÁ",12,"120060","1201","MACRO UNICA - AC","12003","JURUA E TARAUACA/ENVIRA","12003"
1200708,"XAPURI",12,"120070","1201","MACRO UNICA - AC","12001","ALTO ACRE","12001"
1200807,"PORTO ACRE",12,"120080","1201","MACRO UNICA - AC","12002","BAIXO ACRE E PURUS","12002"
1300029,"ALVARÃES",13,"130002","1302","OESTE","13008","TRIANGULO","13008"
1300060,"AMATURÁ",13,"130006","1302","OESTE","13009","ALTO SOLIMOES","13009"
1300086,"ANAMÃ",13,"130008","1304","CENTRAL","13002","RIO NEGRO E SOLIMOES","13002"
1300102,"ANORI",13,"130010","1304","CENTRAL","13002","RIO NEGRO E SOLIMOES","13002"
1300144,"APUÍ",13,"130014","1303","LESTE","13003","RIO MADEIRA","13003"
1300201,"ATALAIA DO NORTE",13,"130020","1302","OESTE","13009","ALTO SOLIMOES","13009"
1300300,"AUTAZES",13,"130030","1304","CENTRAL","13001","MANAUS, ENTORNO E ALTO RIO NEGRO","13001"
1300409,"BARCELOS",13,"130040","1304","CENTRAL","13001","MANAUS, ENTORNO E ALTO RIO NEGRO","13001"
1300508,"BARREIRINHA",13,"130050","1303","LESTE","13005","BAIXO AMAZONAS","13005"
1300607,"BENJAMIN CONSTANT",13,"130060","1302","OESTE","13009","ALTO SOLIMOES","13009"
1300631,"BERURI",13,"130063","1304","CENTRAL","13002","RIO NEGRO E SOLIMOES","13002"
1300680,"BOA VISTA DO RAMOS",13,"130068","1303","LESTE","13005","BAIXO AMAZONAS","13005"
1300706,"BOCA DO ACRE",13,"130070","1304","CENTRAL","13006","REGIONAL PURUS","13006"
1300805,"BORBA",13,"130080","1303","LESTE","13003","RIO MADEIRA","13003"
1300839,"CAAPIRANGA",13,"130083","1304","CENTRAL","13002","RIO NEGRO E SOLIMOES","13002"
1300904,"CANUTAMA",13,"130090","1304","CENTRAL","13006","REGIONAL PURUS","13006"
1301001,"CARAUARI",13,"130100","1302","OESTE","13007","REGIONAL JURUA","13007"
1301100,"CAREIRO",13,"130110","1304","CENTRAL","13001","MANAUS, ENTORNO E ALTO RIO NEGRO","13001"
1301159,"CAREIRO DA VÁRZEA",13,"130115","1304","CENTRAL","13001","MANAUS, ENTORNO E ALTO RIO NEGRO","13001"
1301209,"COARI",13,"130120","1304","CENTRAL","13002","RIO NEGRO E SOLIMOES","13002"
